title,sentence
avocado-citrus-salad-with-mixed-nut-pesto,wash and dry arugula .
avocado-citrus-salad-with-mixed-nut-pesto,"fillet oranges and grapefruit , reserving the juice ."
avocado-citrus-salad-with-mixed-nut-pesto,finely slice mint .
avocado-citrus-salad-with-mixed-nut-pesto,"quarter avocado , remove the pit , and cut into slices ."
avocado-citrus-salad-with-mixed-nut-pesto,rub the slices generously with lemon juice to prevent them from browning .
avocado-citrus-salad-with-mixed-nut-pesto,"for the dressing , mix the juice of the oranges and the grapefruit with half of the lemon juice ."
avocado-citrus-salad-with-mixed-nut-pesto,"add grand marnier , a part of the olive oil , sugar , and mint ."
avocado-citrus-salad-with-mixed-nut-pesto,season with salt and pepper .
avocado-citrus-salad-with-mixed-nut-pesto,"for the nut pesto , use a food processor to blend the walnuts , pine nuts , parmesan , garlic , mustard , chili powder , and salt and pepper into a coarse puree ."
avocado-citrus-salad-with-mixed-nut-pesto,stir remaining olive oil into the pesto .
avocado-citrus-salad-with-mixed-nut-pesto,"carefully fold the citrus fillets into the arugula , then mix with the dressing ."
avocado-citrus-salad-with-mixed-nut-pesto,"once the salad is plated , top with avocado and season with salt and pepper ."
avocado-citrus-salad-with-mixed-nut-pesto,serve with a few dollops of pesto .
avocado-delight-smoothie,"peel half of the oranges , remove pits and cut into chunks ."
avocado-delight-smoothie,peel and pit avocado and roughly chop .
avocado-delight-smoothie,juice the remaining oranges using a citrus press .
avocado-delight-smoothie,"add avocado , orange pieces , orange juice , lime juice , and agave syrup to blender ."
avocado-delight-smoothie,pour in almond milk and blend until smooth .
avocado-delight-smoothie,pause blender and add vanilla extract .
avocado-delight-smoothie,then continue to mix for approx . 1 – 2 min .
avocado-delight-smoothie,enjoy immediately .
avocado-delight-smoothie,"for an even more refreshing experience , serve on ice ."
bacon-and-sauerkraut-cheeseburger,"in a large bowl , mix together ground beef , mustard , paprika powder , salt , and pepper ."
bacon-and-sauerkraut-cheeseburger,"form into equal - sized patties , transfer to a plate , and let sit at room temperature until needed for cooking ."
bacon-and-sauerkraut-cheeseburger,"in a small saucepan , heat up drained sauerkraut over medium - low heat for approx . 5 – 7 min ."
bacon-and-sauerkraut-cheeseburger,cover and remove from heat .
bacon-and-sauerkraut-cheeseburger,"in a large frying pan , cook bacon over medium - high heat for approx . 1 – 2 min . per side until crispy ."
bacon-and-sauerkraut-cheeseburger,transfer to a paper towel - lined plate to remove excess grease .
bacon-and-sauerkraut-cheeseburger,"in a large frying pan , sauté burgers in some vegetable oil over medium heat for approx . 3 – 4 min . per side for medium - rare ; 4 – 5 min . per side for well - done ."
bacon-and-sauerkraut-cheeseburger,"when burgers are finished cooking , top with cheddar cheese ."
bacon-and-sauerkraut-cheeseburger,"transfer to a plate , cover with foil , and let sit for approx . 3 – 5 min ."
bacon-and-sauerkraut-cheeseburger,"in the meantime , wash and dry lettuce ."
bacon-and-sauerkraut-cheeseburger,"heat a large , clean frying pan over medium heat , then add very little vegetable oil and toast burger buns for approx . 60 – 90 sec . per side ."
bacon-and-sauerkraut-cheeseburger,mix together ketchup and mustard ; spread an even layer over bottom burger bun .
bacon-and-sauerkraut-cheeseburger,"assemble burger by layering lettuce , burger patty , sauerkraut , bacon , and pickles on top ."
bacon-and-sauerkraut-cheeseburger,finish with some more sauce and top half of burger bun .
bacon-and-sauerkraut-cheeseburger,enjoy !
baked-penne-with-salmon-and-leeks,"cook pasta in plenty of salted , boiling water , according to package instructions , for approx . 5 – 8 min ."
baked-penne-with-salmon-and-leeks,make sure that it is not fully cooked through .
baked-penne-with-salmon-and-leeks,drain and set aside .
baked-penne-with-salmon-and-leeks,preheat oven to 200 ° c/390 ° f .
baked-penne-with-salmon-and-leeks,dice salmon into bite - sized pieces .
baked-penne-with-salmon-and-leeks,season with salt and pepper .
baked-penne-with-salmon-and-leeks,wash leek and cut into thin slices .
baked-penne-with-salmon-and-leeks,sauté leeks in some olive oil for approx . 3 – 5 min .
baked-penne-with-salmon-and-leeks,season with lemon juice and salt and pepper .
baked-penne-with-salmon-and-leeks,"heat up vegetable stock , then stir in cream cheese until dissolved ."
baked-penne-with-salmon-and-leeks,"season with horseradish , nutmeg , salt , and pepper ."
baked-penne-with-salmon-and-leeks,add salmon and sautéed leeks to the sauce .
baked-penne-with-salmon-and-leeks,mix carefully .
baked-penne-with-salmon-and-leeks,grease baking dish with some olive oil and spread cooked pasta in the bottom .
baked-penne-with-salmon-and-leeks,add sauce and mix until evenly distributed .
baked-penne-with-salmon-and-leeks,top with grated gouda cheese and bake for approx . 30 – 35 min . at 200 ° c/390 ° f until golden .
baked-penne-with-salmon-and-leeks,serve with a salad on the side .
baked-sheet-pan-meatballs-with-vegetables,finely dice the onion .
baked-sheet-pan-meatballs-with-vegetables,crush the garlic with a garlic press .
baked-sheet-pan-meatballs-with-vegetables,"in a bowl , combine onion , garlic , ground meat , panko breadcrumbs , milk , and half of the harissa paste ."
baked-sheet-pan-meatballs-with-vegetables,season generously with salt and pepper .
